chapter #	filename	chapter id
1	ch01_intro.adoc	ch01_intro_what_is_bitcoin
2	ch02_overview.adoc	ch02_bitcoin_overview
3	ch03_bitcoin-core.adoc	ch03_bitcoin_client
4	ch04_keys.adoc	ch04_keys_addresses
5	ch05_wallets.adoc	ch05_wallets
6	ch06_transactions.adoc	c_transactions
7	ch07_authorization-authentication.adoc	c_authorization_authentication
8	ch08_signatures.adoc	c_signatures
9	ch09_fees.adoc	tx_fees
10	ch10_network.adoc	bitcoin_network_ch08
11	ch11_blockchain.adoc	blockchain
12	ch12_mining.adoc	mining
13	ch13_security.adoc	ch11
14	ch14_applications.adoc	ch12
